Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,SUBTLCD,Lg10WF,Lg10CD
Pomona,28,19,0,0,0.55,0.23,1.4624,1.301
pomp,20,18,16,15,0.39,0.21,1.3222,1.2788
Pompadour,17,8,4,4,0.33,0.1,1.2553,0.9542
Pompano,6,4,2,1,0.12,0.05,0.8451,0.699
Pompeii,17,15,1,1,0.33,0.18,1.2553,1.2041
Pompey,36,3,0,0,0.71,0.04,1.5682,0.6021
pompom,7,7,7,7,0.14,0.08,0.9031,0.9031
pompoms,16,14,14,13,0.31,0.17,1.2304,1.1761
pompons,4,3,4,3,0.08,0.04,0.699,0.6021
Pompoon,11,1,0,0,0.22,0.01,1.0792,0.301
pomposity,4,4,4,4,0.08,0.05,0.699,0.699
Pomposo,3,1,0,0,0.06,0.01,0.6021,0.301
pompous,122,96,111,92,2.39,1.14,2.0899,1.9868
pomps,3,3,3,3,0.06,0.04,0.6021,0.6021
poms,2,2,2,2,0.04,0.02,0.4771,0.4771
Pon,17,11,7,6,0.33,0.13,1.2553,1.0792
ponce,25,21,14,11,0.49,0.25,1.415,1.3424
poncey,5,5,5,5,0.1,0.06,0.7782,0.7782
poncho,44,28,24,19,0.86,0.33,1.6532,1.4624
Ponchos,7,5,3,3,0.14,0.06,0.9031,0.7782
pond,323,207,269,182,6.33,2.47,2.5105,2.3181
ponder,56,49,44,40,1.1,0.58,1.7559,1.699
pondered,23,19,23,19,0.45,0.23,1.3802,1.301
pondering,29,22,26,20,0.57,0.26,1.4771,1.3617
Ponderosa,10,7,1,1,0.2,0.08,1.0414,0.9031
ponderous,11,11,11,11,0.22,0.13,1.0792,1.0792
ponders,6,6,6,6,0.12,0.07,0.8451,0.8451
ponds,21,12,21,12,0.41,0.14,1.3424,1.1139
pone,5,5,5,5,0.1,0.06,0.7782,0.7782
Pong,82,34,18,16,1.61,0.41,1.9191,1.5441
Pongo,130,9,0,0,2.55,0.11,2.1173,1
ponied,3,3,3,3,0.06,0.04,0.6021,0.6021
